network,neg,pos,ratio,mode,h1,h2,lr,bs,best_epoch,best_val_recall,best_val_neg_recall,best_balanced_acc
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,256,0.0001,64,0,0.6949917674064636,0.7613775730133057,0.7281846702098846
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,256,0.0004,32,0,0.7397372722625732,0.7740899920463562,0.7569136321544647
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,32,0.0001,64,0,0.6967706680297852,0.8061408400535583,0.7514557540416718
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,32,0.0003,16,0,0.681718647480011,0.8245345950126648,0.7531266212463379
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,32,0.0005,32,0,0.6755610108375549,0.8407529592514038,0.7581569850444794
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,32,0.0009,64,0,0.7287903428077698,0.7919858694076538,0.7603881061077118
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.001,64,0,0.7554734349250793,0.7590113282203674,0.7572423815727234
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.002,64,0,0.7051177024841309,0.8261841535568237,0.7656509280204773
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.0002,32,0,0.6521620154380798,0.8489230275154114,0.7505425214767456
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.0002,64,0,0.6576354503631592,0.8183581233024597,0.7379967868328094
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.005,64,0,0.6429939866065979,0.8700777292251587,0.7565358579158783
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.0005,128,0,0.7136015295982361,0.7831348776817322,0.7483682036399841
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.0006,32,0,0.7344006299972534,0.7867535948753357,0.7605771124362946
FullyConnectedPerceptron,1,1,1.0,weightedBCE,256,64,0.0007,64,0,0.7093595862388611,0.8096633553504944,0.7595114707946777
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,256,0.0001,32,0,0.6340996026992798,0.8656306266784668,0.7498651146888733
FullyConnectedPerceptron,1,1,1.0,weightedBCE,512,256,0.0002,32,0,0.6795293092727661,0.8368518352508545,0.7581905722618103
